Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Italy","NET.IT283A","SISECAM SRL","IT2325A","Carlino - Bosco Bando","SPO.IT2325A_6001_light-scat_2014-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-daysAbove25","1 year day exceed 25","2024","41.000","count","92.62","1","Background","Rural","13.1466","45.7956","4.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:02:27","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT2325A_6001_light-scat_2014-01-01_00_00_00.parquet","hour"
"Italy","NET.IT283A","SISECAM SRL","IT2326A","S.Giorgio di Nogaro - via dell'Istria","SPO.IT2326A_6001_light-scat_2014-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-hr-min","1 year hour min","2024","1.000","ug/m3","70.43","1","Background","Suburban","13.2175","45.8202","7.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:03:46","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT2326A_6001_light-scat_2014-01-01_00_00_00.parquet","hour"
"Italy","NET.IT283A","SISECAM SRL","IT2326A","S.Giorgio di Nogaro - via dell'Istria","SPO.IT2326A_6001_light-scat_2014-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-P1D-per95.07","1 year 95.07 percentile of daily means (P1D) or .../aq/primaryObservation/day","2024","44.250","ug/m3","70.77","1","Background","Suburban","13.2175","45.8202","7.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:04:38","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT2326A_6001_light-scat_2014-01-01_00_00_00.parquet","hour"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT1796A","Civitanova IPPODROMO S. MARONE","SPO.IT1796A_6001_TEOM_2006-02-20_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2024","12.005","ug/m3","90.08","1","Background","Rural","13.6747","43.3356","110.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:01:07","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1796A_6001_TEOM_2006-02-20_00_00_00.parquet","hour"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT1796A","Civitanova IPPODROMO S. MARONE","SPO.IT1796A_6001_TEOM_2006-02-20_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-hr-per50","1 year 50 percentile","2024","9.300","ug/m3","90.08","1","Background","Rural","13.6747","43.3356","110.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:03:53","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1796A_6001_TEOM_2006-02-20_00_00_00.parquet","hour"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT1795A","Macerata COLLEVARIO","SPO.IT1795A_6001_TEOM_2017-03-10_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-daysAbove25","1 year day exceed 25","2024","5.000","count","91.26","1","Background","Suburban","13.4286","43.2850","225.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:02:27","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1795A_6001_TEOM_2017-03-10_00_00_00.parquet","hour"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT1578A","VIA SCARPELLINI","SPO.IT1578A_6001_BETA_2005-04-15_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-daysAbove25","1 year day exceed 25","2024","37.000","count","99.45","1","Background","Suburban","12.9189","43.8933","20.0","Pesaro                                                                          ","IT039C1                                           ","95152","E1a/validated data AQ e-Reporting","10/02/2026 23:02:27","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1578A_6001_BETA_2005-04-15_00_00_00.parquet","hour"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT1578A","VIA SCARPELLINI","SPO.IT1578A_6001_BETA_2005-04-15_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-hr-per50","1 year 50 percentile","2024","9.100","ug/m3","97.61","1","Background","Suburban","12.9189","43.8933","20.0","Pesaro                                                                          ","IT039C1                                           ","95152","E1a/validated data AQ e-Reporting","10/02/2026 23:03:53","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1578A_6001_BETA_2005-04-15_00_00_00.parquet","hour"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT1796A","Civitanova IPPODROMO S. MARONE","SPO.IT1796A_6001_TEOM_2006-02-20_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","0.000","count","93.17","1","Background","Rural","13.6747","43.3356","110.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:02:38","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1796A_6001_TEOM_2006-02-20_00_00_00.parquet","hour"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT1827A","Ancona Cittadella","SPO.IT1827A_6001_gravi_2006-10-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2024","14.497","ug/m3","89.95","1","Background","Urban","13.5086","43.6117","100.0","Ancona                                                                          ","IT017C1                                           ","99077","E1a/validated data AQ e-Reporting","10/02/2026 23:01:07","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1827A_6001_gravi_2006-10-01_00_00_00.parquet","hour"
