Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Observation Frequency
Italy,NET.IT280A,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,IT2008A,CESGI1,SPO.IT2008A_5_BETA_2011-02-17_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per99,1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day,2024,57.485,ug/m3,98.36,1,Background,Urban,8.6053,39.8853,4.0,Santa Giusta,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:44,day
Italy,NET.IT281A,RETE REGIONALE QUALITA' ARIA DEL VENETO,IT2071A,ALTA PADOVANA,SPO.IT2071A_5_gravi_2011-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove45,1 year day exceed 45,2024,65.0,count,93.99,1,Background,Rural,11.9022,45.6003,25.0,Santa Giustina in Colle,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:34,day
Italy,NET.IT281A,RETE REGIONALE QUALITA' ARIA DEL VENETO,IT2071A,ALTA PADOVANA,SPO.IT2071A_5_gravi_2011-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2024,57.0,count,93.99,1,Background,Rural,11.9022,45.6003,25.0,Santa Giustina in Colle,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:38,day
Italy,NET.IT281A,RETE REGIONALE QUALITA' ARIA DEL VENETO,IT2071A,ALTA PADOVANA,SPO.IT2071A_5_gravi_2011-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per90.41,1 year 90.41 percentile,2024,60.0,ug/m3,93.99,1,Background,Rural,11.9022,45.6003,25.0,Santa Giustina in Colle,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:34,day
Italy,NET.IT280A,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,IT2010A,CENPT1,SPO.IT2010A_5_BETA_2012-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per95.07,1 year 95.07 percentile of daily means (P1D) or .../aq/primaryObservation/day,2024,38.8,ug/m3,95.08,1,Background,Urban,8.4053,40.8314,16.0,Porto Torres,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:38,day
Italy,NET.IT282A,RETE REGIONALE QUALIT� ARIA AMBIENTE,IT0459A,CHIARAVALLE2,SPO.IT0459A_5_BETA_2006-02-20_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y,Annual mean / 1 calendar year,2024,30.379,ug/m3,95.37,1,Background,Suburban,13.3419,43.5989,15.0,Chiaravalle,,,E1a/validated data AQ e-Reporting,10/02/2026 23:01:07,hour
Italy,NET.IT281A,RETE REGIONALE QUALITA' ARIA DEL VENETO,IT2231A,TV - Strada S. Agnese,SPO.IT2231A_5_BETA_2015-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove90,1 year day exceed 90,2024,12.0,count,95.9,1,Traffic,Urban,12.2161,45.6588,15.0,Treviso                                                                         ,IT042C1                                           ,85456.0,E1a/validated data AQ e-Reporting,10/02/2026 23:02:44,day
Italy,NET.IT280A,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,IT2040A,CENQU1,SPO.IT2040A_5_BETA_2011-05-19_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per99,1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day,2024,61.783,ug/m3,96.99,1,Background,Urban,9.1881,39.2328,8.0,Quartu Sant'Elena,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:44,day
Italy,NET.IT281A,RETE REGIONALE QUALITA' ARIA DEL VENETO,IT2319A,VE - Rio Novo,SPO.IT2319A_5_BETA_2018-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove90,1 year day exceed 90,2024,12.0,count,98.63,1,Traffic,Urban,12.3231,45.4356,1.0,Venezia                                                                         ,IT011C1                                           ,258685.0,E1a/validated data AQ e-Reporting,10/02/2026 23:02:44,day
Italy,NET.IT281A,RETE REGIONALE QUALITA' ARIA DEL VENETO,IT2319A,VE - Rio Novo,SPO.IT2319A_5_BETA_2018-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per90.41,1 year 90.41 percentile,2024,58.0,ug/m3,98.63,1,Traffic,Urban,12.3231,45.4356,1.0,Venezia                                                                         ,IT011C1                                           ,258685.0,E1a/validated data AQ e-Reporting,10/02/2026 23:04:34,day
Italy,NET.IT280A,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,IT2009A,CENS16,SPO.IT2009A_5_BETA_2011-02-09_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P3Y,3 subsequent calendar years mean,2024,20.357,ug/m3,94.98,1,Background,Urban,8.5761,40.7244,275.0,Sassari                                                                         ,IT026C1                                           ,125273.0,E1a/validated data AQ e-Reporting,10/02/2026 23:04:51,day
Italy,NET.IT282A,RETE REGIONALE QUALIT� ARIA AMBIENTE,IT0461A,FALCONARA SCUOLA,SPO.IT0461A_5_BETA_2002-09-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2024,8.0,count,93.44,1,Industrial,Suburban,13.3875,43.6333,10.0,Falconara Marittima,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:38,hour
Italy,NET.IT282A,RETE REGIONALE QUALIT� ARIA AMBIENTE,IT0461A,FALCONARA SCUOLA,SPO.IT0461A_5_gravi_2002-09-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P3Y,3 subsequent calendar years mean,2024,21.455,ug/m3,31.2,1,Industrial,Suburban,13.3875,43.6333,10.0,Falconara Marittima,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:51,hour
Italy,NET.IT280A,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,IT2056A,CENCA1,SPO.IT2056A_5_BETA_2011-10-14_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-day-per50,1 year 50 %ile of daily values in a year,2024,25.6,ug/m3,96.45,1,Traffic,Urban,9.115,39.2358,33.0,Cagliari                                                                        ,IT027C1                                           ,151005.0,E1a/validated data AQ e-Reporting,10/02/2026 23:02:14,day
Italy,NET.IT282A,RETE REGIONALE QUALIT� ARIA AMBIENTE,IT0460A,JESI,SPO.IT0460A_5_BETA_2003-11-10_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y,Annual mean / 1 calendar year,2024,20.585,ug/m3,96.45,1,Traffic,Urban,13.245,43.5269,100.0,Jesi,,,E1a/validated data AQ e-Reporting,10/02/2026 23:01:07,hour
