Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Observation Frequency
Italy,NET.IT252A,RETE REGIONALE UMBRIA,IT1902A,BRUFA,SPO.IT1902A_5_BETA_2009-01-29_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-day-max,1 year day max,2023,71.0,ug/m3,98.08,1,Background,Rural,12.4681,43.0669,209.0,Torgiano,,,E1a/validated data AQ e-Reporting,10/02/2026 23:01:43,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2275A,ME - Villa Dante,SPO.IT2275A_5_BETA_2015-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-3daysAbove90,3 consecutive days in exceedance of 90,2023,0.0,count,90.96,1,Background,Urban,15.5465,38.1743,0.0,Messina                                                                         ,IT501C1                                           ,227424.0,E1a/validated data AQ e-Reporting,10/02/2026 23:01:21,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2275A,ME - Villa Dante,SPO.IT2275A_5_BETA_2015-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-day-min,1 year day min,2023,5.8,ug/m3,90.96,1,Background,Urban,15.5465,38.1743,0.0,Messina                                                                         ,IT501C1                                           ,227424.0,E1a/validated data AQ e-Reporting,10/02/2026 23:02:04,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2275A,ME - Villa Dante,SPO.IT2275A_5_BETA_2015-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove45,1 year day exceed 45,2023,25.0,count,90.96,1,Background,Urban,15.5465,38.1743,0.0,Messina                                                                         ,IT501C1                                           ,227424.0,E1a/validated data AQ e-Reporting,10/02/2026 23:02:34,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2275A,ME - Villa Dante,SPO.IT2275A_5_BETA_2015-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove90,1 year day exceed 90,2023,3.0,count,90.96,1,Background,Urban,15.5465,38.1743,0.0,Messina                                                                         ,IT501C1                                           ,227424.0,E1a/validated data AQ e-Reporting,10/02/2026 23:02:44,day
Italy,NET.IT224A,PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA,IT1878A,Vercelli - CONI,SPO.IT1878A_5_gravi_2007-02-05_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-day-max,1 year day max,2023,67.0,ug/m3,98.9,1,Background,Suburban,8.4024,45.3189,131.0,Vercelli,,,E1a/validated data AQ e-Reporting,10/02/2026 23:01:43,day
Italy,NET.IT252A,RETE REGIONALE UMBRIA,IT1728A,Le Grazie,SPO.IT1728A_5_BETA_2005-02-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-day-max36,1 year day max 36,2023,49.0,ug/m3,96.16,1,Background,Urban,12.6517,42.5522,138.0,Terni                                                                           ,IT515C1                                           ,110003.0,E1a/validated data AQ e-Reporting,10/02/2026 23:01:53,day
Italy,NET.IT224A,PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA,IT1878A,Vercelli - CONI,SPO.IT1878A_5_gravi_2007-02-05_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-day-per50,1 year 50 %ile of daily values in a year,2023,20.0,ug/m3,98.9,1,Background,Suburban,8.4024,45.3189,131.0,Vercelli,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:14,day
Italy,NET.IT252A,RETE REGIONALE UMBRIA,IT1011A,CARRARA,SPO.IT1011A_5_BETA_2012-11-13_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2023,26.0,count,96.16,1,Traffic,Urban,12.6508,42.56,128.0,Terni                                                                           ,IT515C1                                           ,110003.0,E1a/validated data AQ e-Reporting,10/02/2026 23:02:38,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2052A,CT - Parco Gioeni,SPO.IT2052A_5_BETA_2011-03-25_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-3daysAbove90,3 consecutive days in exceedance of 90,2023,0.0,count,98.63,1,Background,Urban,15.0811,37.5293,135.0,Catania                                                                         ,IT010C1                                           ,296266.0,E1a/validated data AQ e-Reporting,10/02/2026 23:01:21,day
Italy,NET.IT252A,RETE REGIONALE UMBRIA,IT1011A,CARRARA,SPO.IT1011A_5_BETA_2012-11-13_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove90,1 year day exceed 90,2023,0.0,count,96.16,1,Traffic,Urban,12.6508,42.56,128.0,Terni                                                                           ,IT515C1                                           ,110003.0,E1a/validated data AQ e-Reporting,10/02/2026 23:02:44,day
Italy,NET.IT252A,RETE REGIONALE UMBRIA,IT1011A,CARRARA,SPO.IT1011A_5_BETA_2012-11-13_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per90.41,1 year 90.41 percentile,2023,44.0,ug/m3,96.16,1,Traffic,Urban,12.6508,42.56,128.0,Terni                                                                           ,IT515C1                                           ,110003.0,E1a/validated data AQ e-Reporting,10/02/2026 23:04:34,day
Italy,NET.IT224A,PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA,IT1878A,Vercelli - CONI,SPO.IT1878A_5_gravi_2007-02-05_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P3Y,3 subsequent calendar years mean,2023,24.336,ug/m3,99.18,1,Background,Suburban,8.4024,45.3189,131.0,Vercelli,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:51,day
Italy,NET.IT252A,RETE REGIONALE UMBRIA,IT1011A,CARRARA,SPO.IT1011A_5_BETA_2012-11-13_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P3Y,3 subsequent calendar years mean,2023,25.927,ug/m3,97.17,1,Traffic,Urban,12.6508,42.56,128.0,Terni                                                                           ,IT515C1                                           ,110003.0,E1a/validated data AQ e-Reporting,10/02/2026 23:04:51,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2306A,AG - Centro,SPO.IT2306A_5_BETA_2021-03-23_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2023,20.0,count,94.25,1,Background,Urban,13.5899,37.3064,235.4,Agrigento,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:38,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT1899A,Misterbianco,SPO.IT1899A_5_BETA_2008-09-25_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per99,1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day,2023,74.4,ug/m3,92.6,1,Background,Urban,15.0108,37.5157,160.0,Misterbianco,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:44,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2297A,PA - UNIPA,SPO.IT2297A_5_BETA_2020-02-28_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove45,1 year day exceed 45,2023,16.0,count,93.7,1,Background,Urban,13.3465,38.1051,10.0,Palermo                                                                         ,IT005C1                                           ,647422.0,E1a/validated data AQ e-Reporting,10/02/2026 23:02:34,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT1440A,SR - Belvedere,SPO.IT1440A_5_BETA_2005-08-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per99,1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day,2023,65.4,ug/m3,84.66,1,Background,Suburban,15.2087,37.094,150.0,Siracusa                                                                        ,IT509C1                                           ,119056.0,E1a/validated data AQ e-Reporting,10/02/2026 23:04:44,day
Italy,NET.IT252A,RETE REGIONALE UMBRIA,IT2114A,Semonte Alta,SPO.IT2114A_5_BETA_2013-02-06_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per99,1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day,2023,42.0,ug/m3,93.42,1,Industrial,Suburban,12.5469,43.3675,623.0,Gubbio,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:44,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2274A,Porto Empedocle,SPO.IT2274A_5_BETA_2016-06-16_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2023,17.0,count,94.79,1,Background,Suburban,13.5325,37.2919,0.0,Porto Empedocle,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:38,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2274A,Porto Empedocle,SPO.IT2274A_5_BETA_2016-06-16_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per90.4,1 year 90.4 percentile - COMPLIANCE,2023,33.5,ug/m3,94.79,1,Background,Suburban,13.5325,37.2919,0.0,Porto Empedocle,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:30,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2274A,Porto Empedocle,SPO.IT2274A_5_BETA_2016-06-16_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per95.07,1 year 95.07 percentile of daily means (P1D) or .../aq/primaryObservation/day,2023,50.2,ug/m3,94.79,1,Background,Suburban,13.5325,37.2919,0.0,Porto Empedocle,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:38,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2275A,ME - Villa Dante,SPO.IT2275A_5_BETA_2015-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per99,1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day,2023,84.7,ug/m3,90.96,1,Background,Urban,15.5465,38.1743,0.0,Messina                                                                         ,IT501C1                                           ,227424.0,E1a/validated data AQ e-Reporting,10/02/2026 23:04:44,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT1889A,Termini Imerese,SPO.IT1889A_5_BETA_2008-05-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P3Y,3 subsequent calendar years mean,2023,16.638,ug/m3,92.05,1,Background,Urban,13.688,37.9779,101.0,Termini Imerese,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:51,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2281A,AG - ASP,SPO.IT2281A_5_BETA_2017-02-23_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per90.41,1 year 90.41 percentile,2023,33.0,ug/m3,93.97,1,Background,Suburban,13.594,37.307,265.0,Agrigento,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:34,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2281A,AG - ASP,SPO.IT2281A_5_BETA_2017-02-23_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per99,1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day,2023,67.4,ug/m3,93.97,1,Background,Suburban,13.594,37.307,265.0,Agrigento,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:44,day
Italy,NET.IT237A,PROVINCIA DI LECCE,IT1666A,Campi Salentina,SPO.IT1666A_5_BETA_2009-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove45,1 year day exceed 45,2023,29.0,count,96.16,1,Background,Suburban,18.0297,40.4044,10.0,Campi Salentina,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:34,hour
Italy,NET.IT248A,RETE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DELLA CITTA' DI TERAMO,IT1857A,TE - Porta Madonna,SPO.IT1857A_5_BETA_2007-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2023,2.0,count,96.71,1,Traffic,Urban,13.7094,42.6572,257.0,Teramo,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:38,day
Italy,NET.IT247A,PROVINCIA DI BARI,IT1822A,ANDRIA,SPO.IT1822A_5_BETA_2016-10-12_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove90,1 year day exceed 90,2023,0.0,count,75.07,1,Traffic,Urban,16.2917,41.2317,10.0,Andria                                                                          ,IT524C1                                           ,98414.0,E1a/validated data AQ e-Reporting,10/02/2026 23:02:44,hour
