Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Observation Frequency
Italy,NET.IT280A,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,IT2010A,CENPT1,SPO.IT2010A_7_NDIR_2012-01-01_00:00:00,O3,Ozone (air),P1Y-day-per50,1 year 50 %ile of daily values in a year,2024,60.381,ug/m3,96.99,1,Background,Urban,8.4053,40.8314,16.0,Porto Torres,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:14,hour
Italy,NET.IT280A,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,IT2010A,CENPT1,SPO.IT2010A_7_NDIR_2012-01-01_00:00:00,O3,Ozone (air),P1Y-dmaxAbove120,1 year daymax exceed 120,2024,0.0,count,96.72,1,Background,Urban,8.4053,40.8314,16.0,Porto Torres,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:51,hour
Italy,NET.IT280A,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,IT2010A,CENPT1,SPO.IT2010A_7_NDIR_2012-01-01_00:00:00,O3,Ozone (air),P1Y-dmax-per95.07,1 year 95.07 percentile daily 8h maximum,2024,100.854,ug/m3,96.72,1,Background,Urban,8.4053,40.8314,16.0,Porto Torres,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:59,hour
Italy,NET.IT280A,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,IT2010A,CENPT1,SPO.IT2010A_7_NDIR_2012-01-01_00:00:00,O3,Ozone (air),P1Y-dx-max,1 year day max max,2024,111.442,ug/m3,96.72,1,Background,Urban,8.4053,40.8314,16.0,Porto Torres,,,E1a/validated data AQ e-Reporting,10/02/2026 23:03:11,hour
Italy,NET.IT280A,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,IT2040A,CENQU1,SPO.IT2040A_7_UV-P_2011-05-19_00:00:00,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2024,2351.309,ug/m3,99.46,1,Background,Urban,9.1881,39.2328,8.0,Quartu Sant'Elena,,,E1a/validated data AQ e-Reporting,10/02/2026 22:18:22,hour
Italy,NET.IT280A,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,IT2040A,CENQU1,SPO.IT2040A_7_UV-P_2011-05-19_00:00:00,O3,Ozone (air),AOT40fmeasured,AOT40 vegetation protection,2024,5196.316,ug/m3,98.32,1,Background,Urban,9.1881,39.2328,8.0,Quartu Sant'Elena,,,E1a/validated data AQ e-Reporting,10/02/2026 22:18:37,hour
Italy,NET.IT280A,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,IT2040A,CENQU1,SPO.IT2040A_7_UV-P_2011-05-19_00:00:00,O3,Ozone (air),P1Y-day-per50,1 year 50 %ile of daily values in a year,2024,53.94,ug/m3,98.63,1,Background,Urban,9.1881,39.2328,8.0,Quartu Sant'Elena,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:14,hour
Italy,NET.IT281A,RETE REGIONALE QUALITA' ARIA DEL VENETO,IT2072A,BADIA POLESINE,SPO.IT2072A_7_UV-P_2011-01-01_00:00:00,O3,Ozone (air),P1Y-dx-avg,1 year daymax average,2024,73.644,ug/m3,97.27,1,Background,Rural,11.5533,45.1039,6.0,Badia Polesine,,,E1a/validated data AQ e-Reporting,10/02/2026 23:03:08,hour
Italy,NET.IT281A,RETE REGIONALE QUALITA' ARIA DEL VENETO,IT2072A,BADIA POLESINE,SPO.IT2072A_7_UV-P_2011-01-01_00:00:00,O3,Ozone (air),P1Y-hr-max,1 year hour max,2024,164.0,ug/m3,93.99,1,Background,Rural,11.5533,45.1039,6.0,Badia Polesine,,,E1a/validated data AQ e-Reporting,10/02/2026 23:03:19,hour
Italy,NET.IT281A,RETE REGIONALE QUALITA' ARIA DEL VENETO,IT2072A,BADIA POLESINE,SPO.IT2072A_7_UV-P_2011-01-01_00:00:00,O3,Ozone (air),P1Y-maxP6M-P8H-dmax,Yearly highest six monthly average of daily maximum 8-hour mean concentration,2024,105.55,ug/m3,100.0,1,Background,Rural,11.5533,45.1039,6.0,Badia Polesine,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:26,hour
