Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Observation Frequency
Italy,NET.IT232A,ARPA MOLISE,IT1806A,GUARDIAREGIA,SPO.IT1806A_7_UV-P_2006-02-02_00:00:00,O3,Ozone (air),P1Y-day-min,1 year day min,2023,42.592,ug/m3,82.74,1,Background,Rural,14.5256,41.4189,884.0,Guardiaregia,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:04,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2313A,Lampedusa,SPO.IT2313A_7_UV-P_2021-05-26_00:00:00,O3,Ozone (air),P1Y-day-per50,1 year 50 %ile of daily values in a year,2023,84.465,ug/m3,87.12,1,Background,Rural,12.5979,35.5028,20.0,Lampedusa e Linosa,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:14,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2312A,Gela - Tribunale,SPO.IT2312A_7_UV-P_2021-03-24_00:00:00,O3,Ozone (air),P1Y-dx-avg,1 year daymax average,2023,85.932,ug/m3,94.79,1,Background,Urban,14.2613,37.0651,7.0,Gela                                                                            ,IT069C1                                           ,72187.0,E1a/validated data AQ e-Reporting,10/02/2026 23:03:08,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2315A,San Giovanni La Punta,SPO.IT2315A_7_UV-P_2021-03-29_00:00:00,O3,Ozone (air),P1Y-hr-max,1 year hour max,2023,161.593,ug/m3,93.77,1,Background,Suburban,15.1011,37.5787,333.6,San Giovanni la Punta,,,E1a/validated data AQ e-Reporting,10/02/2026 23:03:19,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2313A,Lampedusa,SPO.IT2313A_7_UV-P_2021-05-26_00:00:00,O3,Ozone (air),P1Y-dmax-per99,1 year 99 percentile daily 8h maximum,2023,125.554,ug/m3,86.58,1,Background,Rural,12.5979,35.5028,20.0,Lampedusa e Linosa,,,E1a/validated data AQ e-Reporting,10/02/2026 23:03:04,hour
Italy,NET.IT232A,ARPA MOLISE,IT1806A,GUARDIAREGIA,SPO.IT1806A_7_UV-P_2006-02-02_00:00:00,O3,Ozone (air),P1Y-dmax-per95.07,1 year 95.07 percentile daily 8h maximum,2023,129.579,ug/m3,82.47,1,Background,Rural,14.5256,41.4189,884.0,Guardiaregia,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:59,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2315A,San Giovanni La Punta,SPO.IT2315A_7_UV-P_2021-03-29_00:00:00,O3,Ozone (air),P1Y-hrsAbove240,1 year hour exceed 240,2023,0.0,count,93.77,1,Background,Suburban,15.1011,37.5787,333.6,San Giovanni la Punta,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:12,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2312A,Gela - Tribunale,SPO.IT2312A_7_UV-P_2021-03-24_00:00:00,O3,Ozone (air),P3Y-dmaxAbove120,Daymax exceed 120 averaged over 3 consecutive years,2023,6.5,count,66.67,1,Background,Urban,14.2613,37.0651,7.0,Gela                                                                            ,IT069C1                                           ,72187.0,E1a/validated data AQ e-Reporting,10/02/2026 23:04:58,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2315A,San Giovanni La Punta,SPO.IT2315A_7_UV-P_2021-03-29_00:00:00,O3,Ozone (air),SOMO35,Sum of Ozone Means Over 35 ppb,2023,7928.043,ug/m3,96.44,1,Background,Suburban,15.1011,37.5787,333.6,San Giovanni la Punta,,,E1a/validated data AQ e-Reporting,10/02/2026 23:10:44,hour
Italy,NET.IT232A,ARPA MOLISE,IT1806A,GUARDIAREGIA,SPO.IT1806A_7_UV-P_2006-02-02_00:00:00,O3,Ozone (air),P1Y-dx-avg,1 year daymax average,2023,91.998,ug/m3,82.47,1,Background,Rural,14.5256,41.4189,884.0,Guardiaregia,,,E1a/validated data AQ e-Reporting,10/02/2026 23:03:08,hour
